Name,Ortho_Measured,ReceiverName,HorizontalAccuracy,VerticalAccuracy,Latitude,Longitude,Elevation,NumberSatellites,FixTime
BM_Start ,1679.09,R10-2  5940F00759  Trimble,0.0116612701221151,0.0308794224847289,40.0506887412083,-105.281975359027,1662.00093095632,25,3/15/2023 6:29:06 PM
T1,1680.43,R10-2  5940F00759  Trimble,0.0112457985837978,0.0309487456955784,40.0505319529638,-105.282697146925,1663.3240342805,25,3/15/2023 6:35:10 PM
T2,1681.19,R10-2  5940F00759  Trimble,0.0280942599015917,0.0430268364715893,40.0506451007479,-105.283037555871,1664.0577162925,25,3/15/2023 6:39:39 PM
T3,1682.87,R10-2  5940F00759  Trimble,0.0121188124761631,0.0375862854727737,40.0507073653196,-105.283586263122,1665.76705215156,24,3/15/2023 6:46:24 PM
T4,1686.47,R10-2  5940F00759  Trimble,0.0109130993497572,0.0312221429580449,40.0506991557597,-105.285669574479,1669.40312426314,24,3/15/2023 6:52:19 PM
T5,1689.62,R10-2  5940F00759  Trimble,0.0109018772802902,0.0337933293336042,40.0512197688631,-105.286272191071,1672.54999258956,25,3/15/2023 6:58:00 PM
BM_Close,1679.08,R10-2  5940F00759  Trimble,0.0105839113100047,0.025787836177804,40.050688762782,-105.281975275488,1661.98375697134,25,3/15/2023 7:06:46 PM
